# Expression Atlas version: 3.1
# Query: Genes matching: 'protein_coding (gene_biotype)', specifically expressed in any Organism part above the expression level cutoff: 0.5 in experiment E-MTAB-2836
# Timestamp: Wed, 15-Mar-2017 20:44:50
Gene ID	Gene Name	adipose tissue	adrenal gland	bone marrow	cerebral cortex	colon	duodenum	endometrium	esophagus	fallopian tube	gall bladder	heart	kidney	liver	lung	lymph node	ovary	pancreas	placenta	prostate gland	rectum	saliva-secreting gland	skeletal muscle tissue	small intestine	smooth muscle tissue	spleen	stomach	testis	thyroid gland	tonsil	urinary bladder	vermiform appendix	zone of skin
ENSG00000000003	TSPAN6	10	9		4	23	11	14	18	35	14	2	16	22	7	2	28	4	9	14	23	23	0.6	8	5	5	8	19	13	5	25	3	3
ENSG00000000005	TNMD	7				0.5											2		1	1												0.7	
ENSG00000000419	DPM1	25	40	28	16	28	24	31	29	25	28	24	20	16	22	38	26	10	30	29	28	15	13	27	24	27	23	37	35	37	33	29	22
ENSG00000000457	SCYL3	2	3	1	2	4	3	4	3	4	4	1	3	2	3	5	4	0.9	3	4	4	2	1	3	3	4	4	4	4	4	4	4	4
ENSG00000000460	C1orf112	0.7	0.9	2	0.6	1	1	2	1	0.9	1		0.5	0.6	0.9	2	1		2	1	2			1	1	1	0.8	5	0.8	3	1	2	1
ENSG00000000938	FGR	5	3	101	2	2	2	3	4	3	9	0.8	1	2	21	18	0.8	1	5	2	2	1		3	5	50	2	1	2	12	9	49	2
ENSG00000000971	CFH	25	19		4	21	11	6	26	6	58	19	7	261	17	10	47	1	6	6	33	8	1	19	9	5	22	6	9	7	47	17	13
ENSG00000001036	FUCA2	18	25	12	7	29	27	23	8	19	23	12	28	13	19	10	21	7	32	17	38	7	1	27	20	18	26	10	22	13	26	20	6
ENSG00000001084	GCLC	8	6	8	10	8	13	7	12	26	10	3	9	27	3	7	3	1	3	8	9	3	1	10	5	14	10	4	11	8	14	6	7
ENSG00000001167	NFYA	7	7	15	8	9	7	15	7	10	11	4	6	4	10	16	16	2	9	11	11	4	2	8	10	11	9	35	15	16	11	12	8
